case_id,strategy,delta_components,cldice_original,dice_original,components_original
1000,s2_relative_volume__frac_0.01,-7,0.896689029431023,0.7841487639174053,9
751,s2_relative_volume__frac_0.01,-6,0.8625976166172692,0.7646604461471915,9
752,s2_relative_volume__frac_0.01,-1,0.8528463043779931,0.7582567580878938,5
753,s2_relative_volume__frac_0.01,-2,0.9062682696383894,0.7687141811204524,5
754,s2_relative_volume__frac_0.01,-6,0.9480815447087098,0.8639282228652637,8
755,s2_relative_volume__frac_0.01,-7,0.8436066905215597,0.7661699366964181,10
756,s2_relative_volume__frac_0.01,-6,0.8316498316498316,0.7393484272770195,8
757,s2_relative_volume__frac_0.01,-5,0.9616905919826176,0.8609104996929914,7
758,s2_relative_volume__frac_0.01,-2,0.9489529555078601,0.8461103859416704,5
759,s2_relative_volume__frac_0.01,-6,0.8305024790682445,0.7057681574413356,9
760,s2_relative_volume__frac_0.01,-5,0.8675553324902345,0.7638670105248484,10
761,s2_relative_volume__frac_0.01,-4,0.886223096762605,0.7908047890567556,7
762,s2_relative_volume__frac_0.01,-6,0.8404558404558405,0.7473259892020897,12
763,s2_relative_volume__frac_0.01,-8,0.7960651662865886,0.7540661106647086,11
764,s2_relative_volume__frac_0.01,-2,0.9598966644371515,0.8543170275327453,5
765,s2_relative_volume__frac_0.01,-1,0.8750951241773237,0.7542865635043005,3
766,s2_relative_volume__frac_0.01,-5,0.8863929299583639,0.8061685636813015,9
767,s2_relative_volume__frac_0.01,-8,0.8227230212881508,0.7135594632886074,14
768,s2_relative_volume__frac_0.01,-10,0.908105808750402,0.7978088782692089,16
769,s2_relative_volume__frac_0.01,-3,0.8734938672113223,0.803306704820953,7
770,s2_relative_volume__frac_0.01,-3,0.931867523748944,0.8404643508746825,9
771,s2_relative_volume__frac_0.01,-4,0.9033250282313717,0.8309197154471545,8
772,s2_relative_volume__frac_0.01,0,0.8208010456540006,0.7648750946252839,6
773,s2_relative_volume__frac_0.01,-1,0.9470463032931797,0.8351409978308026,4
774,s2_relative_volume__frac_0.01,-7,0.875541129750565,0.8222945666816345,14
775,s2_relative_volume__frac_0.01,-8,0.8786358133706326,0.7786529496865455,14
776,s2_relative_volume__frac_0.01,-4,0.8193321047721123,0.7124364689047157,9
777,s2_relative_volume__frac_0.01,-5,0.8818568052905973,0.7937805651995371,9
778,s2_relative_volume__frac_0.01,-7,0.8631195204012302,0.7806077917956042,12
779,s2_relative_volume__frac_0.01,-8,0.8867983466151377,0.8023056416168312,11
780,s2_relative_volume__frac_0.01,-6,0.848592306899177,0.7737688991438461,11
