case_id,mask_path,status,target_wall_thickness_mm,voxel_connected_component_count,watertight,non_manifold_edge_count,connected_component_count,surface_area_mm2,volume_mm3,bbox_x_mm,bbox_y_mm,bbox_z_mm,edge_length_min_mm,edge_length_median_mm,edge_length_mean_mm,raw_stl,repaired_stl,smoothed_stl,repair_success,surface_roughness_pre_mean,surface_roughness_pre_max,surface_roughness_post_mean,surface_roughness_post_max,smoothing_volume_change_relative,wall_thickness_compliance_fraction,slicer_compatibility_proxy
1000__s0_original,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/1000/mask__s0_original.nii.gz,ok,3.0,9,True,0,7,8224.39592026524,7061.877841841374,112.80000448226929,99.60000395774841,87.0000034570694,0.4242640855706679,0.6000000238418579,0.5892606688454143,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/1000__s0_original/segmentation_raw.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/1000__s0_original/segmentation_repaired.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/1000__s0_original/segmentation_smoothed.stl,True,0.5846051209689358,3.141592653589793,0.5276767342309249,3.1404698574224024,-0.003074502281855277,0.08801346194296704,True
751__s0_original,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/751/mask__s0_original.nii.gz,ok,3.0,9,True,0,9,8857.119370337401,7127.406849653038,123.00000488758087,112.80000448226929,97.80000388622284,0.4242640855706679,0.6000000238418579,0.5905223490007478,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/751__s0_original/segmentation_raw.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/751__s0_original/segmentation_repaired.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/751__s0_original/segmentation_smoothed.stl,True,0.562456389906713,3.141592653589793,0.5097164259539586,3.139885094606429,-0.0032812164871648094,0.05835338859672579,True
752__s0_original,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/752/mask__s0_original.nii.gz,ok,3.0,5,True,0,5,10278.857701420297,8168.364973744904,106.20000422000885,88.20000350475311,103.20000410079956,0.4242640855706679,0.6000000238418579,0.5910894174105579,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/752__s0_original/segmentation_raw.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/752__s0_original/segmentation_repaired.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/752__s0_original/segmentation_smoothed.stl,True,0.5717864858554659,3.141592653589793,0.5131073328378501,3.1377673473701657,-0.0031448699922995795,0.05011926986102468,True
753__s0_original,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/753/mask__s0_original.nii.gz,ok,3.0,5,True,0,5,5405.133048195258,4353.471518974205,107.40000426769257,94.80000376701355,78.60000312328339,0.4242640855706679,0.6000000238418579,0.5904866878588882,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/753__s0_original/segmentation_raw.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/753__s0_original/segmentation_repaired.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/753__s0_original/segmentation_smoothed.stl,True,0.5786350503965773,3.141592653589793,0.5236996721852472,3.1379749526094463,-0.0030007682012072844,0.053799007685572525,True
754__s0_original,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/754/mask__s0_original.nii.gz,ok,3.0,8,True,0,6,7171.468558351423,6298.497750839381,91.2000036239624,85.80000340938568,112.80000448226929,0.4242640855706679,0.6000000238418579,0.5893352350904526,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/754__s0_original/segmentation_raw.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/754__s0_original/segmentation_repaired.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/754__s0_original/segmentation_smoothed.stl,True,0.5436647028573173,3.141592653589793,0.46584049081889856,3.138164346071734,-0.0028597623502286456,0.09985840469287303,True
755__s0_original,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/755/mask__s0_original.nii.gz,ok,3.0,10,True,0,8,7540.712841735823,6111.324728526622,100.20000398159027,84.60000336170197,90.60000360012054,0.4242640855706679,0.6000000238418579,0.590375188630538,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/755__s0_original/segmentation_raw.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/755__s0_original/segmentation_repaired.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/755__s0_original/segmentation_smoothed.stl,True,0.574957642570036,3.141592653589793,0.5250637760057062,3.1407189442127272,-0.0032643518794641035,0.06097053726169844,True
756__s0_original,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/756/mask__s0_original.nii.gz,ok,3.0,8,True,0,7,5597.841103958384,4522.545539129399,103.20000410079956,86.40000343322754,80.40000319480896,0.4242640855706679,0.6000000238418579,0.5894393178760339,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/756__s0_original/segmentation_raw.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/756__s0_original/segmentation_repaired.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/756__s0_original/segmentation_smoothed.stl,True,0.5878618082476562,3.141592653589793,0.5312908834648778,3.140097551330158,-0.0031735247312292374,0.05898600252797154,True
757__s0_original,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/757/mask__s0_original.nii.gz,ok,3.0,7,True,0,6,8607.090819109562,7557.102900876799,133.20000529289246,115.20000457763672,97.80000388622284,0.4242640855706679,0.6000000238418579,0.5890116185535104,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/757__s0_original/segmentation_raw.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/757__s0_original/segmentation_repaired.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/757__s0_original/segmentation_smoothed.stl,True,0.5685327927567697,3.141592653589793,0.5076119773903043,3.1397774231449804,-0.0025948056860855685,0.0908707746775689,True
758__s0_original,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/758/mask__s0_original.nii.gz,ok,3.0,5,True,0,4,6880.599018422789,5444.199648999122,110.40000438690186,87.0000034570694,115.80000460147858,0.4242640855706679,0.6000000238418579,0.5906022350555473,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/758__s0_original/segmentation_raw.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/758__s0_original/segmentation_repaired.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/758__s0_original/segmentation_smoothed.stl,True,0.5381908305333813,3.141592653589793,0.4756812551353487,3.1398647149653995,-0.0033728598208024813,0.04991641721416631,True
759__s0_original,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/759/mask__s0_original.nii.gz,ok,3.0,9,True,0,8,4963.250774577081,3896.1814644609863,93.00000369548798,76.80000305175781,82.80000329017639,0.4242640855706679,0.6000000238418579,0.5882642360078958,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/759__s0_original/segmentation_raw.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/759__s0_original/segmentation_repaired.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s0_original/case_outputs/759__s0_original/segmentation_smoothed.stl,True,0.5765346298926003,3.141592653589793,0.5254843316312646,3.1390293282074007,-0.0038527667388125767,0.05013292821876187,True
